standard_name,synoptic_name,unit_conversion_coefficient,metadata_col,exclude
Tair_#_Avg,T [C],1,t_rh,
RH_#_Avg,RH [%],1,t_rh,
WS_#_Avg,FF [m/s],1,null,
WDrs_#_Avg,DD [deg],1,null,
WG_#_Max,FFGUST [m/s],1,null,
P_#,P [hPa],10,null,
SWin_#_Avg,SOLRAD [W/m2],1,null,
SWout_#_Avg,SOLOUT [W/m2],1,null,
LWin_#_Avg,LWRAD [W/m2],1,null,
LWout_#_Avg,LWOUT [W/m2],1,null,
SWnet_#_Avg,NETSWRAD [W/m2],1,null,
LWnet_#_Avg,NETLWRAD [W/m2],1,null,
Rnet_#_Avg,NETRAD [W/m2],1,null,
PAR_#_Avg,PAR [umol/m2s],1,null,
RF_#_Tot,PCP5M [mm],1,rf,0145
BattVolt,BATV [volt],1,null,
Tsoil_#,SOILT [C],1,tsoil,
SM_#_Avg,SOILMP [%],1,sm,
Tsoil_#_Avg,SOILT [C],1,tsoil,
